slug,path,topic,cluster,publish_date,last_updated,last_validation,affiliate_products,traffic_estimate,status,word_count,readability,broken_links,missing_schema,missing_disclosure,missing_cta,pricing_signal,version_signal,duplicate_competitors_detected,reasons
ai-search-alternatives,D:\AFFILATE BOT\site_output\ai-search-alternatives\index.html,Best AI Search Alternatives for 2026,general,2026-07-06,2026-07-06,2026-07-06,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2145,57.45,1,False,False,False,False,False,False,broken links detected
ai-search-software-review,D:\AFFILATE BOT\site_output\ai-search-software-review\index.html,AI Search Software Review: Research-Style Review for 2026,review,2026-06-14,2026-06-14,2026-06-14,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2270,57.65,1,False,False,False,False,False,True,broken links detected
ai-seo-alternatives,D:\AFFILATE BOT\site_output\ai-seo-alternatives\index.html,Best AI SEO Alternatives for 2026,general,2026-07-06,2026-07-06,2026-07-06,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2145,57.28,2,False,False,False,False,False,False,broken links detected
ai-seo-software-review,D:\AFFILATE BOT\site_output\ai-seo-software-review\index.html,AI SEO Software Review: Research-Style Review for 2026,review,2026-06-14,2026-06-14,2026-06-14,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2265,57.47,2,False,False,False,False,False,True,broken links detected
ai-tools-in-2026-what-each-platform-does-best-in-real-world-workflows,D:\AFFILATE BOT\site_output\ai-tools-in-2026-what-each-platform-does-best-in-real-world-workflows\index.html,"AI Tools in Real-World Workflows Review 2026: Features, Pricing, Pros, Cons & Alternatives",best,2026-06-13,2026-06-13,2026-06-13,,0,Broken,6326,54.25,2,False,False,True,True,False,False,broken links detected
ai-video-alternatives,D:\AFFILATE BOT\site_output\ai-video-alternatives\index.html,Best AI Video Alternatives for 2026,general,2026-07-06,2026-07-06,2026-07-06,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2138,57.22,1,False,False,False,False,False,False,broken links detected
ai-video-software-review,D:\AFFILATE BOT\site_output\ai-video-software-review\index.html,"AI Video Software Review 2026: Features, Pricing, Pros, Cons & Alternatives",review,2026-06-13,2026-06-13,2026-06-13,,0,Broken,6091,54.24,2,False,False,True,True,False,True,broken links detected
ai-voice-alternatives,D:\AFFILATE BOT\site_output\ai-voice-alternatives\index.html,Best AI Voice Alternatives for 2026,general,2026-07-06,2026-07-06,2026-07-06,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2148,57.36,1,False,False,False,False,False,False,broken links detected
ai-voice-software-review,D:\AFFILATE BOT\site_output\ai-voice-software-review\index.html,AI Voice Software Review: Research-Style Review for 2026,review,2026-06-14,2026-06-14,2026-06-14,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2262,57.67,1,False,False,False,False,False,True,broken links detected
ai-writing-alternatives,D:\AFFILATE BOT\site_output\ai-writing-alternatives\index.html,Best AI Writing Alternatives for 2026,general,2026-07-06,2026-07-06,2026-07-06,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2172,56.75,1,False,False,False,False,False,False,broken links detected
ai-writing-software-review,D:\AFFILATE BOT\site_output\ai-writing-software-review\index.html,"AI Writing Software Review 2026: Features, Pricing, Pros, Cons & Alternatives",review,2026-06-13,2026-06-13,2026-06-13,,0,Broken,6109,54.76,1,False,False,True,True,False,True,broken links detected
aisuite-review-2026,D:\AFFILATE BOT\site_output\aisuite-review-2026\index.html,"aisuite Review 2026: Features, Pricing, Pros, Cons & Alternatives",review,2026-06-13,2026-06-13,2026-06-13,,0,Broken,6026,54.1,3,False,False,True,True,False,True,broken links detected
author-profile,D:\AFFILATE BOT\site_output\author-profile\index.html,Author Profile,general,2026-06-02,2026-06-02,2026-06-02,,0,Broken,602,46.65,1,False,False,True,False,False,False,broken links detected
automation-alternatives,D:\AFFILATE BOT\site_output\automation-alternatives\index.html,Best Automation Alternatives for 2026,general,2026-07-06,2026-07-06,2026-07-06,make; zapier,0,Broken,1754,55.32,1,False,False,False,False,False,False,broken links detected
automation-software-comparison,D:\AFFILATE BOT\site_output\automation-software-comparison\index.html,"Automation Software Review 2026: Features, Pricing, Pros, Cons & Alternatives",general,2026-06-13,2026-06-13,2026-06-13,,0,Broken,6007,54.12,4,False,False,True,True,False,True,broken links detected
automation-software-review,D:\AFFILATE BOT\site_output\automation-software-review\index.html,Automation Software Review: Research-Style Review for 2026,review,2026-06-14,2026-06-14,2026-06-14,make; zapier,0,Broken,1856,55.96,1,False,False,False,False,False,True,broken links detected
aweber-review-2026,D:\AFFILATE BOT\site_output\aweber-review-2026\index.html,"AWeber Review 2026: Email Marketing Features, Pricing, Pros and Cons",review,2026-06-16,2026-06-16,2026-06-16,,0,Broken,2028,51.91,1,False,False,True,True,False,False,broken links detected
beehiiv-review-2026,D:\AFFILATE BOT\site_output\beehiiv-review-2026\index.html,"beehiiv Review 2026: Features, Pricing, Pros, Cons & Alternatives",review,2026-06-13,2026-06-13,2026-06-13,,0,Broken,5959,54.52,3,False,False,True,True,False,True,broken links detected
best-affiliate-marketing-software-saas,D:\AFFILATE BOT\site_output\best-affiliate-marketing-software-saas\index.html,Best Affiliate Marketing Software for SaaS Companies,best,2026-06-12,2026-06-12,2026-06-12,,0,Broken,2617,46.34,1,False,False,True,False,False,False,broken links detected
best-ai-assistant-software,D:\AFFILATE BOT\site_output\best-ai-assistant-software\index.html,"Best AI Assistant Software Review 2026: Features, Pricing, Pros, Cons & Alternatives",best,2026-06-13,2026-06-13,2026-06-13,,0,Broken,6268,53.99,5,False,False,True,True,False,True,broken links detected
best-ai-automation-tools,D:\AFFILATE BOT\site_output\best-ai-automation-tools\index.html,Best AI Automation Tools,best,2026-07-06,2026-07-06,2026-07-06,,0,Broken,1081,58.2,1,False,False,True,False,False,True,broken links detected
best-ai-automation-tools-2026,D:\AFFILATE BOT\site_output\best-ai-automation-tools-2026\index.html,Best AI Automation Tools 2026,best,2026-07-06,2026-07-06,2026-07-06,make; zapier; hubspot; activecampaign; notion-ai,0,Broken,1269,57.54,1,False,False,False,False,False,True,broken links detected
