topic,slug,missing_sources,missing_competitors,missing_entities,missing_affiliate_data,priority,reason,created_at,status,score,started_at,checked_at,latest_score,latest_missing_information
meetily Review 2026,meetily-review-2026,7,1,8,1,medium,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage,2026-07-07T06:24:34.222312+00:00,needs_enrichment,45.86,2026-07-07T06:24:34.172374+00:00,2026-07-07T06:24:34.237373+00:00,45.86,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage
system_prompts_leaks Review 2026,system-prompts-leaks-review-2026,12,1,8,1,medium,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage,2026-07-07T06:24:34.303821+00:00,needs_enrichment,45.86,2026-07-07T06:24:34.251808+00:00,2026-07-07T06:24:34.318725+00:00,45.86,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage
agent-skills Review 2026,agent-skills-review-2026,7,1,8,1,medium,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage,2026-07-07T06:24:34.391982+00:00,needs_enrichment,45.86,2026-07-07T06:24:34.333874+00:00,2026-07-07T06:24:34.406795+00:00,45.86,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage
last30days-skill Review 2026,last30days-skill-review-2026,7,1,8,1,medium,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage,2026-07-07T06:24:34.474547+00:00,needs_enrichment,45.86,2026-07-07T06:24:34.421579+00:00,2026-07-07T06:24:34.491285+00:00,45.86,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage
taste-skill Review 2026,taste-skill-review-2026,7,1,8,1,medium,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage,2026-07-07T06:24:34.558335+00:00,needs_enrichment,45.86,2026-07-07T06:24:34.509043+00:00,2026-07-07T06:24:34.573971+00:00,45.86,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage
karakeep Review 2026,karakeep-review-2026,7,1,8,1,medium,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage,2026-07-07T06:24:34.638020+00:00,needs_enrichment,45.86,2026-07-07T06:24:34.589254+00:00,2026-07-07T06:24:34.653267+00:00,45.86,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage
best ai meeting software,best-ai-meeting-software,9,1,5,1,medium,competitor coverage is limited,2026-07-07T06:24:34.751155+00:00,needs_enrichment,55.86,2026-07-07T06:24:34.668500+00:00,2026-07-07T06:24:34.768990+00:00,55.86,competitor coverage is limited
best ai voice software,best-ai-voice-software,9,1,5,1,medium,competitor coverage is limited,2026-07-07T06:24:34.871374+00:00,needs_enrichment,55.86,2026-07-07T06:24:34.797941+00:00,2026-07-07T06:24:34.888200+00:00,55.86,competitor coverage is limited
