total_drafts,approved_count,rejected_count,scheduled_count,posted_count,platform,language,source_url,scheduled_time
160,0,0,0,0,twitter,en,https://review.mssmileenglish.com/pricing/github-copilot/,
160,0,0,0,0,facebook,en,https://review.mssmileenglish.com/review/cursor/,
160,0,0,0,0,linkedin,en,https://review.mssmileenglish.com/review/cursor/,
160,0,0,0,0,short_video,en,https://review.mssmileenglish.com/review/cursor/,
160,0,0,0,0,twitter,en,https://review.mssmileenglish.com/review/cursor/,
160,0,0,0,0,facebook,en,https://review.mssmileenglish.com/review/github-copilot/,
160,0,0,0,0,linkedin,en,https://review.mssmileenglish.com/review/github-copilot/,
160,0,0,0,0,short_video,en,https://review.mssmileenglish.com/review/github-copilot/,
160,0,0,0,0,twitter,en,https://review.mssmileenglish.com/review/github-copilot/,
160,0,0,0,0,facebook,en,https://review.mssmileenglish.com/windsurf-review/,
160,0,0,0,0,linkedin,en,https://review.mssmileenglish.com/windsurf-review/,
160,0,0,0,0,short_video,en,https://review.mssmileenglish.com/windsurf-review/,
160,0,0,0,0,twitter,en,https://review.mssmileenglish.com/windsurf-review/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/ai-coding-software-review/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/ai-coding-software-review/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/ai-coding-software-review/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/ai-coding-software-review/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/best-ai-coding-tools-2026/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/best-ai-coding-tools-2026/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/best-ai-coding-tools-2026/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/best-ai-coding-tools-2026/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/best-ai-coding-tools/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/best-ai-coding-tools/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/best-ai-coding-tools/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/best-ai-coding-tools/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/category/ai-coding-tools/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/category/ai-coding-tools/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/category/ai-coding-tools/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/category/ai-coding-tools/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/compare/cursor-vs-github-copilot/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/compare/cursor-vs-github-copilot/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/compare/cursor-vs-github-copilot/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/compare/cursor-vs-github-copilot/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/compare/cursor-vs-windsurf/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/compare/cursor-vs-windsurf/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/compare/cursor-vs-windsurf/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/compare/cursor-vs-windsurf/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/compare/github-copilot-vs-codeium/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/compare/github-copilot-vs-codeium/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/compare/github-copilot-vs-codeium/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/compare/github-copilot-vs-codeium/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-codex/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-codex/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-codex/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-codex/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-cursor/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-cursor/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-cursor/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-cursor/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-tabnine/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-tabnine/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-tabnine/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-tabnine/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-copilot/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-copilot/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-copilot/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-copilot/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-github-copilot/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-github-copilot/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-github-copilot/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-github-copilot/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-vscode/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-vscode/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-vscode/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-vscode/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-windsurf/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-windsurf/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-windsurf/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-windsurf/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/comparisons/windsurf-vs-copilot/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/comparisons/windsurf-vs-copilot/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/comparisons/windsurf-vs-copilot/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/comparisons/windsurf-vs-copilot/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/pricing/cursor/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/pricing/cursor/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/pricing/cursor/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/pricing/cursor/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/pricing/github-copilot/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/pricing/github-copilot/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/pricing/github-copilot/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/pricing/github-copilot/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/review/cursor/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/review/cursor/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/review/cursor/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/review/cursor/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/review/github-copilot/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/review/github-copilot/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/review/github-copilot/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/review/github-copilot/,
160,0,0,0,0,facebook,vi,https://review.mssmileenglish.com/vi/windsurf-review/,
160,0,0,0,0,linkedin,vi,https://review.mssmileenglish.com/vi/windsurf-review/,
160,0,0,0,0,short_video,vi,https://review.mssmileenglish.com/vi/windsurf-review/,
160,0,0,0,0,twitter,vi,https://review.mssmileenglish.com/vi/windsurf-review/,
