source_page,target_page,anchor_text,reason,priority
/best-ai-coding-tools-2026/,https://review.mssmileenglish.com/copilot-vs-codex/,copilot vs codex,Supports AI coding tools topical cluster and action: create_comparison_page,high
/categories/,https://review.mssmileenglish.com/copilot-vs-codex/,copilot vs codex,Supports AI coding tools topical cluster and action: create_comparison_page,high
/comparisons/,https://review.mssmileenglish.com/copilot-vs-codex/,copilot vs codex,Supports AI coding tools topical cluster and action: create_comparison_page,high
/reviews/,https://review.mssmileenglish.com/copilot-vs-codex/,copilot vs codex,Supports AI coding tools topical cluster and action: create_comparison_page,high
/pricing/,https://review.mssmileenglish.com/copilot-vs-codex/,copilot vs codex,Supports AI coding tools topical cluster and action: create_comparison_page,high
